# ══════════════════════════════════════════════════════════════
# ФРАЗЫ ДЖАРВИСА — phrases/iron_man/default.txt
# Формат: КАТЕГОРИЯ: фраза
# ══════════════════════════════════════════════════════════════

ПРИВЕТСТВИЕ: Добро пожаловать обратно, Сэр. Все системы в норме и ждут указаний.
ОДОБРЕНИЕ: Отличное решение, Сэр.
ОДОБРЕНИЕ: Это правильный подход, Сэр.
ОДОБРЕНИЕ: Именно, Сэр.

ОТКАЗ: Это за пределами моих текущих возможностей, Сэр.
ОТКАЗ: Данная задача требует дополнительных ресурсов, Сэр.
ОТКАЗ: Не могу гарантировать точность в этом вопросе, Сэр.
ОТКАЗ: Здесь я вынужден признать ограничения, Сэр.
ОТКАЗ: Недостаточно данных для полноценного ответа, Сэр.

АНАЛИЗ: Провожу анализ данных, Сэр.
АНАЛИЗ: Сопоставляю факты, Сэр.
АНАЛИЗ: Обнаружен любопытный паттерн, Сэр.
АНАЛИЗ: Данные изучены. Картина следующая, Сэр.
АНАЛИЗ: Вычисления завершены, Сэр.
АНАЛИЗ: Разбираю по деталям, Сэр.
АНАЛИЗ: Анализ завершён. Результаты могут вас заинтересовать, Сэр.
АНАЛИЗ: Нашёл несколько важных моментов, Сэр.

ОПАСНОСТЬ: Требуется немедленное внимание, Сэр.
ОПАСНОСТЬ: Ситуация нестандартная, Сэр. Рекомендую действовать быстро.
ОПАСНОСТЬ: Фиксирую критические данные, Сэр.
ОПАСНОСТЬ: Это требует вашего внимания прямо сейчас, Сэр.
